url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/tom-ford/velvet-gardenia-1824.html,velvet-gardenia,tom-ford,USA,unisex,"4,11",329,2007.0,"gardenia, orange","tuberose, beeswax, plum, honey, jasmine, lily-of-the-valley, rose","incense, french labdanum",unknown,,white floral,amber,honey,animalic,sweet
https://www.fragrantica.com/perfume/yves-saint-laurent/jazz-2539.html,jazz,yves-saint-laurent,France,men,"4,11",1567,1988.0,"lavender, nutmeg, coriander, artemisia, anise, bergamot, basil, cinnamon, cardamom","geranium, carnation, jasmine, iris","oakmoss, tobacco, leather, sandalwood, cedar, musk, amber, tonka bean",jean-francois latty,,aromatic,fresh spicy,herbal,warm spicy,lavender
https://www.fragrantica.com/perfume/yves-saint-laurent/mon-paris-dazzling-lights-collector-47462.html,mon-paris-dazzling-lights-collector,yves-saint-laurent,France,women,"4,11",36,2017.0,"strawberry, raspberry, pear, bergamot, orange, calone, mandarin orange","jasmine sambac, chinese jasmine, datura, peony, orange blossom","patchouli, indonesian patchouli leaf, musk, ambroxan, vanilla, moss, cedar",unknown,,fruity,sweet,white floral,citrus,woody
https://www.fragrantica.com/perfume/yves-saint-laurent/paris-premieres-roses-2014-24140.html,paris-premieres-roses-2014,yves-saint-laurent,France,women,"4,11",87,2014.0,"wild rose, violet, neroli","damask rose, peony, lily-of-the-valley","rose, white musk, sandalwood",dominique ropion,,rose,floral,fresh,powdery,white floral
https://www.fragrantica.com/perfume/chanel/chance-eau-tendre-8069.html,chance-eau-tendre,chanel,France,women,"4,12",17053,2010.0,"quince, grapefruit","hyacinth, jasmine","musk, iris, virginia cedar, amber",jacques polge,,floral,fruity,citrus,sweet,fresh spicy
https://www.fragrantica.com/perfume/chanel/coco-mademoiselle-611.html,coco-mademoiselle,chanel,France,women,"4,12",29283,2001.0,"orange, mandarin orange, bergamot, orange blossom","turkish rose, jasmine, mimosa, ylang-ylang","patchouli, white musk, vanilla, vetiver, tonka bean, opoponax",jacques polge,,citrus,woody,patchouli,sweet,white floral
https://www.fragrantica.com/perfume/chanel/coco-noir-15963.html,coco-noir,chanel,France,women,"4,12",10815,2012.0,"grapefruit, bergamot, orange","rose, geranium, jasmine, narcissus, peach","patchouli, sandalwood, olibanum, tonka bean, vanille, white musk, cloves, benzoin",christopher sheldrake,jacques polge,warm spicy,woody,citrus,fresh spicy,amber
https://www.fragrantica.com/perfume/chanel/1932-eau-de-parfum-41778.html,1932-eau-de-parfum,chanel,France,women,"4,12",627,2016.0,"aldehydes, pear, grapefruit","iris, floral notes, jasmine","musk, woody notes, vetiver, vanila, incense",jacques polge,,floral,aldehydic,iris,fresh,powdery
https://www.fragrantica.com/perfume/dior/fahrenheit-cologne-34582.html,fahrenheit-cologne,dior,France,men,"4,12",824,2015.0,"calabrian bergamot, sicilian mandarin, lemon","french violet, patchouli","haitian vetiver, nutmeg, virginian cedar, caraway",françois demachy,,citrus,woody,violet,aromatic,fresh spicy
https://www.fragrantica.com/perfume/dior/fahrenheit-summer-229.html,fahrenheit-summer,dior,France,men,"4,12",81,2002.0,"mandarin orange, grapefruit","violet, freesia, sandalwood","cedar, amber, patchouli",bertrand duchaufour,,woody,citrus,powdery,floral,violet
https://www.fragrantica.com/perfume/dior/la-colle-noire-38153.html,la-colle-noire,dior,France,unisex,"4,12",476,2016.0,lemon,"may rose, spices, peony, lily-of-the-valley, black currant, raspberry, peach","white musk, sandalwood, amber, heliotrope, agarwood (oud)",françois demachy,,rose,floral,powdery,fresh,musky
https://www.fragrantica.com/perfume/dolce-gabbana/velvet-mughetto-60621.html,velvet-mughetto,dolce-gabbana,Italy,unisex,"4,12",67,2020.0,"bergamot, pink pepper, black currant","lily-of-the-valley, magnolia, patchouli","cashmeran, sandalwood",sidonie lancesseur,,woody,citrus,powdery,musky,floral
https://www.fragrantica.com/perfume/jo-malone-london/mimosa-cardamom-31825.html,mimosa-cardamom,jo-malone-london,UK,unisex,"4,12",2769,2015.0,cardamom,mimosa,tonka bean,marie salamagne,,yellow floral,warm spicy,powdery,sweet,aromatic
https://www.fragrantica.com/perfume/jo-malone-london/sunlit-cherimoya-cologne-90020.html,sunlit-cherimoya-cologne,jo-malone-london,UK,unisex,"4,12",80,2024.0,bergamot,"pear, cherimoya","tonka bean, copaiba balm",unknown,,fruity,sweet,vanilla,balsamic,aquatic
https://www.fragrantica.com/perfume/tom-ford/lavender-extreme-54381.html,lavender-extreme,tom-ford,USA,unisex,"4,12",1092,2019.0,"violet, lemon","lavender, cinnamon, geranium, rose","tonka bean, coumarin",olivier gillotin,,aromatic,lavender,vanilla,warm spicy,sweet
https://www.fragrantica.com/perfume/tom-ford/santal-blush-12766.html,santal-blush,tom-ford,USA,women,"4,12",2865,2011.0,"spices, cinnamon, caraway, fenugreek, carrot seeds","ylang-ylang, jasmine, rose","sandalwood, benzoin, virginia cedar, musk, agarwood (oud)",yann vasnier,,woody,warm spicy,powdery,fresh spicy,musky
https://www.fragrantica.com/perfume/tom-ford/soleil-neige-56737.html,soleil-neige,tom-ford,USA,unisex,"4,12",2082,2019.0,"bergamot, carrot seeds","white flowers, orange blossom, jasmine, rose, turkish rose","benzoin, vanilla, labdanum",givaudan,,white floral,amber,citrus,vanilla,powdery
https://www.fragrantica.com/perfume/yves-saint-laurent/l-homme-eau-d-ete-2702.html,l-homme-eau-d-ete,yves-saint-laurent,France,men,"4,12",80,2008.0,"bergamot, ginger","basil, violet, white pepper","tahitian vetiver, tonka bean, cedar, musk",unknown,,fresh spicy,aromatic,woody,powdery,citrus
https://www.fragrantica.com/perfume/yves-saint-laurent/paris-premieres-roses-2010-11403.html,paris-premieres-roses-2010,yves-saint-laurent,France,women,"4,12",34,2010.0,"freesia, african orange flower","rose, violet, peony","musk, sandalwood",unknown,,floral,rose,powdery,violet,woody
https://www.fragrantica.com/perfume/yves-saint-laurent/paris-premieres-roses-2016-36482.html,paris-premieres-roses-2016,yves-saint-laurent,France,women,"4,12",73,2016.0,"rose hip, violet leaf, neroli, bergamot","damask rose, lily-of-the-valley, peony","white musk, sandalwood, violet",unknown,,rose,floral,musky,fresh,powdery
https://www.fragrantica.com/perfume/yves-saint-laurent/yvresse-champagne-101.html,yvresse-champagne,yves-saint-laurent,France,women,"4,12",2406,1993.0,"peach, nectarine, apricot, caraway, anise, mint","cinnamon, litchi, rose, rose oil, carnation, violet, iris, jasmine, lily-of-the-valley","oakmoss, amber, benzoin, patchouli, vanilla, styrax, cedar, musk, coconut, vetiver",sophia grojsman,,fruity,powdery,sweet,warm spicy,amber
